chocolate_id,Word
88,red
88,wine
274,creamy
275,creamy
276,spice
277,sandy
278,mellow
279,vegetal
660,acidic
662,creamy
663,floral
664,long
664,lasting
727,gritty
770,complex
771,fatty
772,basic
772,cocoa
773,creamy
774,creamy
775,maltitol
938,mildly
938,rich
950,creamy
951,creamy
952,sweet
953,creamy
954,fatty
955,sweet
1092,gritty
1389,creamy
1390,grapefruit
1391,tropical
1391,fruit
1391,and
1391,mild
1391,smoke
1392,creamy
1393,sweet
1394,bitter
1394,coffee
1394,flavor
1395,smooth
1476,pasty
1477,grassy
1478,non
1478,descript
1550,muddy
1612,mild
1612,tart
1613,rich
1613,cocoa
1614,red
1614,fruit
1651,creamy
1652,vegetal
1653,tart
1654,smoke
1654,dominates
1655,earthy
1656,sandy
1657,creamy
1782,rustic
1783,sweet
1784,too
1784,sweet
1788,cherry
1789,tobacco
1790,dry
1791,fruity
1792,fresh
1792,nibs
2099,subtle
2100,red
2100,berry
2101,slight
2101,bitter
2102,modest
2103,nutty
67,spicy
68,spice
69,waxy
89,creamy
90,fruity
90,with
90,coffee
90,notes
91,coffee
92,fatty
93,creamy
94,sandy
164,smooth
165,leather
280,dry
349,creamy
350,sandy
497,sweet
498,earthy
499,sweet
533,creamy
619,dark
619,coffee
620,cinnamon
621,nutty
622,waxy
623,mild
623,mint
624,sandy
632,red
632,berry
633,sticky
665,creamy
666,creamy
667,creamy
668,creamy
669,fruity
670,smooth
671,sticky
672,mild
672,spice
956,creamy
980,buttery
1229,harsh
1229,burnt
1270,creamy
1271,cardboard
1396,cocoa
1397,creamy
1479,pasty
1601,mild
1601,tart
1615,rich
1615,cocoa
1616,tangy
1617,creamy
1618,cinnamon
1658,large
1658,nibs
1723,vanilla
1724,creamy
1725,cinnamon
1793,complex
1794,strong
1794,smokey
1794,tobacco
1795,sweet
1796,smooth
2015,sandy
2053,sandy
2054,dry
2055,sandy
2056,dry
2057,dry
2104,creamy
2105,sandy
2106,creamy
2107,creamy
2108,nutty
2108,and
2108,bitter
2108,dominate
2109,berries
2110,creamy
2136,sticky
70,sticky
148,spicy
240,nutty
241,intense
242,rich
242,cocoa
243,nutmeg
258,rich
259,unrefined
260,sweet
260,grass
281,creamy
351,dry
393,sandy
394,dry
395,cloying
396,clingy
409,sandy
410,sticky
411,sweet
412,crumbly
413,perfume
414,grainy
455,dry
500,long
500,lasting
524,dry
525,bitter
534,intense
535,lemon
625,fatty
634,intense
634,fruit
661,sticky
673,sticky
674,sticky
675,cucumber
676,creamy
725,lemon
728,muted
729,sandy
730,gritty
751,woody
941,very
941,sour
957,creamy
958,sweet
959,perfume
1046,grassy
1047,fungal
1048,sandy
1122,intense
1123,creamy
1124,spicy
1125,fruity
1126,sweet
1127,creamy
1128,crumbly
1129,grassy
1174,roasty
1250,intense
1251,sandy
1252,sandy
1253,sticky
1265,creamy
1266,nutty
1267,creamy
1268,chalky
1480,complex
1554,sandy
1555,sandy
1556,creamy
1557,floral
1659,complex
1660,fatty
1661,sandy
1748,raisins
1749,dry
1750,nutty
1751,sandy
1777,creamy
1778,nutty
1779,nutty
1780,floral
1797,grassy
2019,dry
2020,gritty
2021,tangy
2022,dry
40,roasty
41,sandy
42,gritty
71,hot
71,spice
76,dry
77,roasty
78,waxy
78,mouthfeel
79,fatty
149,spice
150,sl.
150,bitter
151,spicey
152,gritty
153,oily
154,cocoa
166,strawberries
244,intense
