errors,Count,Corrected
roasty,208,roasty
choco,22,cocoa
ashey,13,ashy
cinamon,10,cinnamon
spicey,10,spicey
sl.,9,sl.
bready,5,bready
fudgey,5,fudgy
pastey,5,pasty
nibby,3,nibby
spciy,3,spicy
swiss,3,swiss
descript,2,descript
easter,2,easter
molassses,2,molasses
overyly,2,overly
sublte,2,subtle
accesible,1,accessible
alkalyzed,1,alkalized
alocohol,1,alcohol
andes,1,andes
astringcy,1,astringent
astringnet,1,astringent
blackpepper,1,black pepper
brownine,1,brownie
cadbury,1,cadbury
cheesey,1,cheesy
cocounut,1,coconut
cooa,1,cocoa
dirt/,1,dirt
distinquished,1,distinguished
domintates,1,dominates
dutched?,1,dutched
earty,1,earthy
fertilzer,1,fertilizer
hebs,1,herbs
klingy,1,clingy
lavendar,1,lavender
ligt,1,light
malitol,1,maltitol
mildy,1,mild
non-descript,1,non-descript
nutella,1,nutella
oreo,1,oreo
peanutbutter,1,peanut butter
pomegrant,1,pomegranate
prononced,1,pronounced
rainins,1,raisin
raisiny,1,raisin
raisns,1,raisin
rasin,1,raisin
roaste,1,roasty
roasty/smokey,1,roasty
sliglty,1,slightly
sligt,1,slight
sligthly,1,slightly
smomkey,1,smokey
smoth,1,smooth
sticy,1,spicy
vanilla(n),1,vanilla
w/,1,w/
winey,1,wine
wtf,1,wtf
xl,1,xl
