errors,Count
accesible,1
alkalyzed,1
alocohol,1
andes,1
ashey,13
astringcy,1
astringnet,1
blackpepper,1
bready,5
brownine,1
cadbury,1
cheesey,1
choco,22
cinamon,10
cocounut,1
cooa,1
descript,2
dirt/,1
distinquished,1
domintates,1
dutched?,1
earty,1
easter,2
fertilzer,1
fudgey,5
hebs,1
klingy,1
lavendar,1
ligt,1
malitol,1
mildy,1
molassses,2
nibby,3
non-descript,1
nutella,1
oreo,1
overyly,2
pastey,5
peanutbutter,1
pomegrant,1
prononced,1
rainins,1
raisiny,1
raisns,1
rasin,1
roaste,1
roasty,208
roasty/smokey,1
sl.,9
sliglty,1
sligt,1
sligthly,1
smomkey,1
smoth,1
spciy,3
spicey,10
sticy,1
sublte,2
swiss,3
vanilla(n),1
w/,1
winey,1
wtf,1
xl,1
