weight,word
206,cocoa
119,creamy
113,nutty
104,fruit
97,rich
85,mild
73,roasty
64,spicy
64,floral
63,intense
56,sweet
46,berry
42,sandy
40,spice
35,complex
35,dried
35,fatty
33,caramel
33,earthy
32,tart
31,sticky
31,coffee
30,smoke
29,banana
29,fruity
27,brownie
27,red
26,woody
25,sour
24,cherry
23,dairy
22,grassy
20,citrus
20,pepper
20,black
19,smooth
18,dark
17,orange
17,oily
17,strawberry
17,balanced
17,nuts
16,nut
16,honey
15,and
15,bitter
15,melon
14,roast
14,smokey
13,raspberry
13,astringent
13,acidic
13,grapes
12,peanut
12,delicate
12,bold
12,vegetal
12,long
11,tobacco
11,marshmallow
11,deep
11,dry
11,strong
11,fig
11,basic
10,vanilla
10,grape
10,butterscotch
10,mint
10,burnt
10,simple
10,bright
10,roasted
