,Index,Word,rating,ratings_group
0,88,red,3.75,4.0
1,88,wine,3.75,4.0
2,274,creamy,4.0,4.0
3,275,creamy,4.0,4.0
4,276,spice,3.75,4.0
5,277,sandy,3.75,4.0
6,278,mellow,3.75,4.0
7,279,vegetal,3.0,3.0
8,660,acidic,1.5,2.0
9,662,creamy,3.5,4.0
10,663,floral,3.25,3.0
11,664,long,3.0,3.0
12,664,lasting,3.0,3.0
13,727,gritty,2.75,3.0
14,770,complex,4.0,4.0
15,771,fatty,3.5,4.0
16,772,basic,3.0,3.0
17,772,cocoa,3.0,3.0
18,773,creamy,3.0,3.0
19,774,creamy,3.0,3.0
20,775,maltitol,2.0,2.0
21,938,mildly,2.5,2.0
22,938,rich,2.5,2.0
23,950,creamy,3.5,4.0
24,951,creamy,3.5,4.0
25,952,sweet,3.5,4.0
26,953,creamy,3.0,3.0
27,954,fatty,3.0,3.0
28,955,sweet,2.5,2.0
29,1092,gritty,2.0,2.0
30,1389,creamy,3.75,4.0
31,1390,grapefruit,3.75,4.0
32,1391,tropical,3.75,4.0
33,1391,fruit,3.75,4.0
34,1391,and,3.75,4.0
35,1391,mild,3.75,4.0
36,1391,smoke,3.75,4.0
37,1392,creamy,3.0,3.0
38,1393,sweet,2.0,2.0
39,1394,bitter,2.0,2.0
40,1394,coffee,2.0,2.0
41,1394,flavor,2.0,2.0
42,1395,smooth,2.0,2.0
43,1476,pasty,3.0,3.0
44,1477,grassy,2.75,3.0
45,1478,non,2.0,2.0
46,1478,descript,2.0,2.0
47,1550,muddy,3.0,3.0
48,1612,mild,4.0,4.0
49,1612,tart,4.0,4.0
50,1613,rich,3.75,4.0
51,1613,cocoa,3.75,4.0
52,1614,red,3.0,3.0
53,1614,fruit,3.0,3.0
54,1651,creamy,3.75,4.0
55,1652,vegetal,3.75,4.0
56,1653,tart,3.5,4.0
57,1654,smoke,3.0,3.0
58,1654,dominates,3.0,3.0
59,1655,earthy,3.0,3.0
60,1656,sandy,3.0,3.0
61,1657,creamy,3.0,3.0
62,1782,rustic,3.75,4.0
63,1783,sweet,3.0,3.0
64,1784,too,2.0,2.0
65,1784,sweet,2.0,2.0
66,1788,cherry,3.5,4.0
67,1789,tobacco,3.0,3.0
68,1790,dry,2.0,2.0
69,1791,fruity,2.0,2.0
70,1792,fresh,2.0,2.0
71,1792,nibs,2.0,2.0
72,2099,subtle,3.75,4.0
73,2100,red,3.5,4.0
74,2100,berry,3.5,4.0
75,2101,slight,3.0,3.0
76,2101,bitter,3.0,3.0
77,2102,modest,3.0,3.0
78,2103,nutty,2.5,2.0
79,67,spicy,3.75,4.0
80,68,spice,3.5,4.0
81,69,waxy,3.0,3.0
82,89,creamy,3.75,4.0
83,90,fruity,3.5,4.0
84,90,with,3.5,4.0
85,90,coffee,3.5,4.0
86,90,notes,3.5,4.0
87,91,coffee,3.5,4.0
88,92,fatty,3.5,4.0
89,93,creamy,3.0,3.0
90,94,sandy,3.0,3.0
91,164,smooth,3.0,3.0
92,165,leather,2.5,2.0
93,280,dry,2.5,2.0
94,349,creamy,3.0,3.0
95,350,sandy,2.0,2.0
96,497,sweet,3.0,3.0
97,498,earthy,2.5,2.0
98,499,sweet,2.5,2.0
99,533,creamy,3.0,3.0
100,619,dark,3.0,3.0
101,619,coffee,3.0,3.0
102,620,cinnamon,3.0,3.0
103,621,nutty,3.0,3.0
104,622,waxy,3.0,3.0
105,623,mild,3.0,3.0
106,623,mint,3.0,3.0
107,624,sandy,2.5,2.0
108,632,red,3.5,4.0
109,632,berry,3.5,4.0
110,633,sticky,3.5,4.0
111,665,creamy,4.0,4.0
112,666,creamy,4.0,4.0
113,667,creamy,4.0,4.0
114,668,creamy,3.75,4.0
115,669,fruity,3.5,4.0
116,670,smooth,3.5,4.0
117,671,sticky,3.25,3.0
118,672,mild,3.25,3.0
119,672,spice,3.25,3.0
120,956,creamy,3.5,4.0
121,980,buttery,2.5,2.0
122,1229,harsh,3.0,3.0
123,1229,burnt,3.0,3.0
124,1270,creamy,3.5,4.0
125,1271,cardboard,2.75,3.0
126,1396,cocoa,3.5,4.0
127,1397,creamy,3.5,4.0
128,1479,pasty,1.0,1.0
129,1601,mild,4.0,4.0
130,1601,tart,4.0,4.0
131,1615,rich,4.0,4.0
132,1615,cocoa,4.0,4.0
133,1616,tangy,4.0,4.0
134,1617,creamy,3.75,4.0
135,1618,cinnamon,3.5,4.0
136,1658,large,4.0,4.0
137,1658,nibs,4.0,4.0
138,1723,vanilla,3.75,4.0
139,1724,creamy,3.5,4.0
140,1725,cinnamon,3.0,3.0
141,1793,complex,3.75,4.0
142,1794,strong,3.0,3.0
143,1794,smokey,3.0,3.0
144,1794,tobacco,3.0,3.0
145,1795,sweet,3.0,3.0
146,1796,smooth,3.0,3.0
147,2015,sandy,3.0,3.0
148,2053,sandy,3.5,4.0
149,2054,dry,3.0,3.0
150,2055,sandy,3.0,3.0
151,2056,dry,2.5,2.0
152,2057,dry,2.0,2.0
153,2104,creamy,4.0,4.0
154,2105,sandy,3.75,4.0
155,2106,creamy,3.25,3.0
156,2107,creamy,3.0,3.0
157,2108,nutty,2.75,3.0
158,2108,and,2.75,3.0
159,2108,bitter,2.75,3.0
160,2108,dominate,2.75,3.0
161,2109,berries,2.5,2.0
162,2110,creamy,1.5,2.0
163,2136,sticky,3.0,3.0
164,70,sticky,2.75,3.0
165,148,spicy,3.75,4.0
166,240,nutty,3.75,4.0
167,241,intense,3.5,4.0
168,242,rich,3.0,3.0
169,242,cocoa,3.0,3.0
170,243,nutmeg,3.0,3.0
171,258,rich,3.0,3.0
172,259,unrefined,2.75,3.0
173,260,sweet,2.75,3.0
174,260,grass,2.75,3.0
175,281,creamy,4.0,4.0
176,351,dry,2.0,2.0
177,393,sandy,3.5,4.0
178,394,dry,3.5,4.0
179,395,cloying,2.5,2.0
