,Index,Word,rating,ratings_group
0,88,red,3.75,4
1,88,wine,3.75,4
2,274,creamy,4,4
3,275,creamy,4,4
4,276,spice,3.75,4
5,277,sandy,3.75,4
6,278,mellow,3.75,4
7,279,vegetal,3,3
8,660,acidic,1.5,2
9,662,creamy,3.5,4
10,663,floral,3.25,3
11,664,long,3,3
12,664,lasting,3,3
13,727,gritty,2.75,3
14,770,complex,4,4
15,771,fatty,3.5,4
16,772,basic,3,3
17,772,cocoa,3,3
18,773,creamy,3,3
19,774,creamy,3,3
20,775,maltitol,2,2
21,938,mildly,2.5,2
22,938,rich,2.5,2
23,950,creamy,3.5,4
24,951,creamy,3.5,4
25,952,sweet,3.5,4
26,953,creamy,3,3
27,954,fatty,3,3
28,955,sweet,2.5,2
29,1092,gritty,2,2
30,1389,creamy,3.75,4
31,1390,grapefruit,3.75,4
32,1391,tropical,3.75,4
33,1391,fruit,3.75,4
34,1391,and,3.75,4
35,1391,mild,3.75,4
36,1391,smoke,3.75,4
37,1392,creamy,3,3
38,1393,sweet,2,2
39,1394,bitter,2,2
40,1394,coffee,2,2
41,1394,flavor,2,2
42,1395,smooth,2,2
43,1476,pasty,3,3
44,1477,grassy,2.75,3
45,1478,non,2,2
46,1478,descript,2,2
47,1550,muddy,3,3
48,1612,mild,4,4
49,1612,tart,4,4
50,1613,rich,3.75,4
51,1613,cocoa,3.75,4
52,1614,red,3,3
53,1614,fruit,3,3
54,1651,creamy,3.75,4
55,1652,vegetal,3.75,4
56,1653,tart,3.5,4
57,1654,smoke,3,3
58,1654,dominates,3,3
59,1655,earthy,3,3
60,1656,sandy,3,3
61,1657,creamy,3,3
62,1782,rustic,3.75,4
63,1783,sweet,3,3
64,1784,too,2,2
65,1784,sweet,2,2
66,1788,cherry,3.5,4
67,1789,tobacco,3,3
68,1790,dry,2,2
69,1791,fruity,2,2
70,1792,fresh,2,2
71,1792,nibs,2,2
72,2099,subtle,3.75,4
73,2100,red,3.5,4
74,2100,berry,3.5,4
75,2101,slight,3,3
76,2101,bitter,3,3
77,2102,modest,3,3
78,2103,nutty,2.5,2
79,67,spicy,3.75,4
80,68,spice,3.5,4
81,69,waxy,3,3
82,89,creamy,3.75,4
83,90,fruity,3.5,4
84,90,with,3.5,4
85,90,coffee,3.5,4
86,90,notes,3.5,4
87,91,coffee,3.5,4
88,92,fatty,3.5,4
89,93,creamy,3,3
90,94,sandy,3,3
91,164,smooth,3,3
92,165,leather,2.5,2
93,280,dry,2.5,2
94,349,creamy,3,3
95,350,sandy,2,2
96,497,sweet,3,3
97,498,earthy,2.5,2
98,499,sweet,2.5,2
99,533,creamy,3,3
100,619,dark,3,3
101,619,coffee,3,3
102,620,cinnamon,3,3
103,621,nutty,3,3
104,622,waxy,3,3
105,623,mild,3,3
106,623,mint,3,3
107,624,sandy,2.5,2
108,632,red,3.5,4
109,632,berry,3.5,4
110,633,sticky,3.5,4
111,665,creamy,4,4
112,666,creamy,4,4
113,667,creamy,4,4
114,668,creamy,3.75,4
115,669,fruity,3.5,4
116,670,smooth,3.5,4
117,671,sticky,3.25,3
118,672,mild,3.25,3
119,672,spice,3.25,3
120,956,creamy,3.5,4
121,980,buttery,2.5,2
122,1229,harsh,3,3
123,1229,burnt,3,3
124,1270,creamy,3.5,4
125,1271,cardboard,2.75,3
126,1396,cocoa,3.5,4
127,1397,creamy,3.5,4
128,1479,pasty,1,1
129,1601,mild,4,4
130,1601,tart,4,4
131,1615,rich,4,4
132,1615,cocoa,4,4
133,1616,tangy,4,4
134,1617,creamy,3.75,4
135,1618,cinnamon,3.5,4
136,1658,large,4,4
137,1658,nibs,4,4
138,1723,vanilla,3.75,4
139,1724,creamy,3.5,4
140,1725,cinnamon,3,3
141,1793,complex,3.75,4
142,1794,strong,3,3
143,1794,smokey,3,3
