Word,Count
cocoa,361
sweet,274
nutty,253
fruit,228
roasty,210
mild,204
creamy,184
sour,177
earthy,174
intense,167
sandy,156
fatty,153
floral,146
rich,139
spicy,137
off,103
bitter,99
vanilla,95
molasses,93
coffee,88
woody,85
sticky,77
berry,75
spice,75
tart,66
gritty,65
dried,64
burnt,64
dry,63
caramel,62
smoke,61
grassy,57
banana,54
brownie,52
fruity,52
red,50
smokey,50
notes,48
oily,48
complex,47
dairy,46
black,41
strong,41
astringent,40
metallic,40
cherry,38
pepper,37
acidic,37
pungent,35
tobacco,35
vegetal,35
roast,34
hammy,34
nuts,33
rubber,32
citrus,31
nut,30
honey,29
high,29
strawberry,29
licorice,28
basic,28
grits,27
melon,26
coarse,26
orange,25
green,24
dark,24
and,24
very,24
note,24
smooth,24
marshmallow,24
rubbery,23
dirty,22
chemical,21
grapes,21
tangy,20
roasted,20
peanut,20
bland,20
bold,20
muted,20
chalky,19
lemon,19
mint,18
flavor,18
butter,18
light,18
balanced,17
heavy,17
medicinal,17
bright,17
long,17
coconut,17
powdery,16
slight,16
simple,16
harsh,15
raisin,15
rum,15
milk,15
savory,15
fig,15
rustic,14
perfume,14
candy,14
waxy,14
raspberry,14
flat,14
butterscotch,14
grape,14
ashy,13
tea,13
ham,13
color,13
unrefined,13
cardboard,13
subtle,13
base,13
deep,13
cinnamon,13
few,12
late,12
chewy,12
delicate,12
raisins,12
leather,12
edge,11
bourbon,11
leathery,11
musty,10
chocolate,10
spicey,10
blackberry,10
hot,9
woodsy,9
mocha,9
acidity,9
large,9
cream,9
dirt,9
nibs,9
buttery,9
sl.,9
mellow,8
wine,8
slightly,8
grainy,8
gateway,8
of,8
hazelnut,8
toffee,8
gummy,8
tannic,8
chunky,8
palm,8
short,8
poor,8
blueberry,8
too,7
fuel,7
dominates,7
nutmeg,7
overly,7
slow,7
sugar,7
candy-like,7
aftertaste,7
tropical,7
anise,7
salt,7
olive,7
hay,6
cheese,6
malt,6
candied,6
texture,6
pasty,6
bread,6
to,6
mushroom,6
lasting,5
herbal,5
herbs,5
grass,5
spices,5
full,5
fudgy,5
some,5
bready,5
cheesy,5
chocolatey,5
salty,5
robust,5
tang,5
raw,5
like,5
aroma,5
minty,5
then,4
true,4
vinegar,4
metal,4
wood,4
melt,4
maple,4
soapy,4
soil,4
accessible,4
plum,4
&,4
yogurt,4
cherries,4
burning,4
apple,4
distinct,4
ending,4
fragrant,4
hint,4
cashew,3
fat,3
cardamom,3
sensation,3
cloying,3
covered,3
pure,3
fresh,3
mildly,3
powerful,3
miss,3
pronounced,3
develop,3
pear,3
dimensional,3
muddy,3
over,3
dominant,3
nibby,3
one,3
odd,3
from,3
earth,3
burn,3
sunflower,3
berries,3
uneven,3
swiss,3
surface,3
fudge-like,3
almond,3
well,3
subdued,3
with,3
grit,3
astringency,2
toast,2
diluted,2
pistachio,2
peach,2
unique,2
artificial,2
papaya,2
unbalanced,2
dense,2
oranges,2
dominate,2
alcohol,2
descript,2
tea-like,2
atypical,2
thick,2
but,2
cacao,2
strawberries,2
bodied,2
easter,2
clingy,2
cooling,2
tangerine,2
ripe,2
refined,2
crumbly,2
cucumber,2
bitterness,2
dates,2
pudding,2
spoiled,2
baked,2
silky,2
hints,2
mostly,2
mix,2
moldy,2
medium,2
moss,2
flavors,2
lime,2
length,2
empty,2
grain,2
flour,2
mold,2
mass,2
non,2
market,2
grapefruit,2
synthetic,1
grounds,1
ground,1
lavender,1
gentle,1
leafy,1
bar,1
black pepper,1
temper,1
ginger,1
bean,1
batter,1
blackberries,1
less,1
easy,1
fungal,1
super,1
mark,1
maltitol,1
soy,1
spectrum,1
front,1
burlap,1
brown,1
brief,1
macadamia,1
brandy,1
low,1
bother,1
body,1
fudge,1
lingering,1
blueberries,1
sugary,1
assertive,1
ultra,1
issues,1
intensity,1
walnut,1
walnuts,1
watered,1
watering,1
watery,1
alluring,1
herb,1
wet,1
whole,1
why,1
wild,1
alkalized,1
homey,1
holiday,1
add,1
acid,1
wtf,1
xl,1
yellow,1
w/,1
ice,1
almost,1
unground,1
appealing,1
soft,1
intensely,1
uncontrolled,1
undefined,1
under,1
undertone,1
ham-like,1
intens,1
veggie,1
unpleasant,1
unrecognizable,1
andes,1
unripened,1
up,1
ambiguous,1
vegetable,1
aluminum,1
butt,1
cardamon,1
by,1
moderate,1
peanut butter,1
developed,1
perfect,1
pieces,1
fades,1
modest,1
plums,1
pomegranate,1
possible,1
soap,1
potting,1
defined,1
fast,1
profile,1
prominent,1
prune,1
prunes,1
fertilizer,1
mouthfeel,1
multiple,1
evolves,1
distinguished,1
nuanced,1
egg,1
nutella,1
earthen,1
non-descript,1
dutched,1
oddly,1
dull,1
down,1
dominated,1
nice,1
or,1
near,1
mysterious,1
oreo,1
origin,1
ends,1
punch,1
finish,1
flavorful,1
classic,1
sandpaper,1
cigar,1
chocolaty,1
medicine,1
sharp,1
shell,1
shine,1
chlorine,1
med,1
meaty,1
single,1
charcoal,1
carrots,1
noticeable,1
masculine,1
smoked,1
cadbury,1
cigarette,1
clove,1
hit,1
medley,1
raspberries,1
crunchy,1
floral-spice,1
crisp,1
menthol,1
refinement,1
refreshing,1
residue,1
cranberries,1
forest,1
cough,1
roaster,1
forward,1
cooked,1
rough,1
rounded,1
controlled,1
current,1
